id,keep,target,paraphrase,negation,neg_markers,neg_tier,containment,para_containment,prompt_id,genre,note,review_note
hn48833,y,עונת הפולו העיקרית בג'מייקה רואה משחק אחר משחק על הדשא הבתולי בצ'וקה קוב.,עונת הפולו העיקרית בג'מייקה רואה משחקים רבים על הדשא הבתולי בצ'וקה קוב.,עונת הפולו העיקרית בג'מייקה לא רואה משחקים רבים על הדשא הבתולי בצ'וקה קוב.,לא,strong,0.86,0.86,48833,travel,,
hn55831,n,הכובשים החדשים של צפון הודו לא באו בלא הזמנה.,הכובשים החדשים של צפון הודו הגיעו בהזמנה.,הכובשים החדשים של צפון הודו הגיעו ללא הזמנה ובהפתעה.,ללא,strong,0.86,0.71,55831,travel,,direction inverted: the target is already negated
hn6085,n,"עד כה, התשובה היא כן! חד משמעית.","עד היום, התשובה היא בהחלט כן!","עד כה, התשובה היא לא חד משמעית!",לא,strong,0.86,0.57,6085,slate,,meaning shift: חד משמעית attaches to a different word
hn66929,y,מאר ביקש אישור להזניק את מטוסי אוטיס.,מאר פנה בבקשה לאישור להזניק את מטוסי אוטיס.,מאר לא ביקש רשות להזניק את מטוסי הקרב אוטיס.,לא,strong,0.86,0.00,66929,nineeleven,,
hn6697,n,דוח על תקני ארגון מחדש של LSC,יש דוח על תקני התיאום מחדש של LSC.,אין דוח על תקני התצורה מחדש של LSC.,אין,strong,0.86,0.86,6697,government,,target is a title fragment; negation also changes ארגון -> תצורה
hn88884,y,השיטה שנבחרה על ידי ההנהלה לרישום הסטיות צריכה להיות היעילה והאפקטיבית ביותר בנסיבות העניין.,השיטה שנבחרה על ידי ההנהלה לרישום הסטיות צריכה להיות היעילה והאפקטיבית ביותר בנסיבות.,השיטה שנבחרה על ידי הנהלה לרישום הסטיות לא צריכה להיות היעילה והאפקטיבית ביותר בנסיבות.,לא,strong,0.86,0.93,88884,government,,
hn89490,y,פעולות ספציפיות לכל שלב נדונות בסעיפים 6-10.,סעיפים 6-10 עוסקים בפעולות הספציפיות לכל שלב.,פעולות ספציפיות עבור כל שלב לא נדונות בסעיפים 6-10.,לא,strong,0.86,0.00,89490,government,,
hn92899,y,תמיד היו לי תקוות לגבי המכתב הזה.,תמיד רציתי שהמכתב הזה יגיע.,לא היו לי שום תקוות לגבי המכתב הזה.,לא,strong,0.86,0.29,92899,fiction,quantifier,quantifier
hn4199,y,"לכן, המחקר הצליח לקשר בין ציוני בחינת מצב נפשי לרמות האלכוהול בזמן ההסכמה.",המחקר יצר מתאם בין רמות האלכוהול בזמן ההסכמה לציוני מבחן המצב המנטלי.,המחקר לא הצליח לקשר בין ציוני בחינת מצב נפשי לרמות אלכוהול בזמן ההסכמה.,לא,strong,0.85,0.38,4199,government,,
hn115652,n,עושר מוחשי בר-שחזור קבוע בארצות הברית,"עושר מוחשי קבוע וניתן לשכפול בארה""ב.",עושר מוחשי קבוע שאינו ניתן לשכפול בארצות הברית.,שאינו,strong,0.83,0.50,115652,government,,target is a noun phrase
hn117439,n,זה הופך אותך לניתן לחיזוי מאוד.',,זה לא הופך אותך לניתן לחיזוי.,לא,strong,0.83,0.00,117439,fiction,WRITE PARAPHRASE,negation drops מאוד
