id,keep,target,paraphrase,negation,neg_markers,neg_tier,containment,para_containment,prompt_id,genre,note
hn42432,?,שני צירים הזמן התאחדו.,שני צירים הזמן השונים השתלבו.,שני צירים הזמן לא התאחדו.,לא,strong,1.00,0.75,42432,fiction,
hn44760,?,ראיתי את ג'ון.,,עדיין לא ראיתי את ג'ון.,לא,strong,1.00,0.00,44760,fiction,WRITE PARAPHRASE
hn45801,?,"אני אומר, תודה לך.","תודה, זה מה שאני אומר.","לא תודה לך, אני אומר.",לא,strong,1.00,0.50,45801,slate,
hn45888,?,פוארו מיהר להסביר את עצמו.,,פוארו לא מיהר להסביר את עצמו.,לא,strong,1.00,0.00,45888,fiction,WRITE PARAPHRASE
hn46505,?,הייתי צריך לעזור לה.,הייתי צריך לתת לה עזרה.,לא הייתי צריך לעזור לה.,לא,strong,1.00,0.75,46505,fiction,
hn47044,?,אני רוצה שהיא תעזוב.,הייתי רוצה שהיא תעבור לגור במקום אחר.,אני לא רוצה שהיא תעזוב לעולם.,לא,strong,1.00,0.50,47044,slate,
hn4776,?,מה אני יכול לעשות?,,מה אני לא יכול לעשות?,לא,strong,1.00,0.00,4776,slate,WRITE PARAPHRASE
hn49380,?,הוועדה כללה סיכום של ניתוח הגמישות הרגולטורית הראשוני שלה.,סיכום הניתוח הראשוני של גמישות רגולטורית צורף.,הוועדה לא כללה סיכום של ניתוח הגמישות הרגולטורית הראשוני שלה.,לא,strong,1.00,0.33,49380,government,
hn50393,?,"עורך ראשי, Business Week",ל-Business Week יש עורך ראשי.,ל- Business Week אין עורך ראשי.,אין,strong,1.00,0.75,50393,slate,
hn53013,?,"המכונות, לעומת זאת, נראות מטושטשות.","בהשוואה, המכונות נראות מטושטשות.","לעומת זאת, המכונות לא נראות מטושטשות.",לא,strong,1.00,0.60,53013,slate,
hn54723,?,"""ראיתי גם את זה.",,לא ראיתי את זה גם.,לא,strong,1.00,0.00,54723,fiction,WRITE PARAPHRASE
hn55725,?,"אנחנו החברים שלך, מר פרנקלין.",,"אנחנו לא החברים שלך, מר פרנקלין.",לא,strong,1.00,0.00,55725,fiction,WRITE PARAPHRASE
hn57990,?,"ראית אותו, אני מניח?",אני מניח שראית אותו?,"לא ראית אותו, אני מניח?",לא,strong,1.00,0.75,57990,fiction,
hn58497,?,"נכון, אמר ג'ון.",ג'ון אמר שזה נכון.,ג'ון אמר שזה לא נכון.,לא,strong,1.00,1.00,58497,fiction,
hn60839,?,האם זה היה שווה את זה?,,האם זה לא היה שווה את זה בכלל?,לא,strong,1.00,0.00,60839,slate,WRITE PARAPHRASE
hn61024,?,מר בראון תפס את מקומו.,,מר בראון לא תפס את מקומו.,לא,strong,1.00,0.00,61024,fiction,WRITE PARAPHRASE
hn62265,?,אי-ודאויות אחרות ספציפיות להערכת תמותה מוקדמת כוללות את ה-,,אי-ודאויות אחרות שאינן ספציפיות להערכת תמותה מוקדמת כוללות את ה-,שאינן,strong,1.00,0.00,62265,government,WRITE PARAPHRASE
hn64490,?,הדברת מזיקים תטופל בפרק עתידי.,הדברה תהיה הנושא של פרק עתידי.,הדברת מזיקים לא תטופל לעולם בפרק עתידי.,לא,strong,1.00,0.20,64490,slate,
hn7032,?,אתה מתכוון לג'יין פין?,"ג'יין פין, את מתכוונת?",אתה לא מתכוון לג'יין פין.,לא,strong,1.00,0.40,7032,fiction,
hn71825,?,אתה יודע מה שאלתי אותך עכשיו.,שאלתי אותך משהו עכשיו.,אתה לא יודע מה שאלתי אותך עכשיו?,לא,strong,1.00,0.50,71825,fiction,
hn72130,?,"הזקן היה כזה, הודה יוליוס.",יוליוס היה צריך להודות שזה מה שהיה האיש הזקן.,"הזקן לא היה כזה בכלל, הודה יוליוס.",לא,strong,1.00,0.60,72130,fiction,
hn76378,?,למה אתה צריך את זה?,,למה אתה לא צריך את זה?,לא,strong,1.00,0.00,76378,fiction,WRITE PARAPHRASE
hn79961,?,דול סומך על וודוורד.,דול שומר על אמונו בוודוורד.,דול לא סומך על וודוורד.,לא,strong,1.00,0.50,79961,slate,
hn80080,?,מתאים למטרת מחקר המקרה?,מתאים לסיבת המקרה הנלמד?,לא מתאים למטרת מחקר המקרה,לא,strong,1.00,0.50,80080,government,
hn81917,?,זה היה על הכרטיס שלו.,הקלף שלו נמצא איפה שהיה.,זה לא היה בכלל על הכרטיס שלו.,לא,strong,1.00,0.20,81917,fiction,
hn84661,?,אתה קורא את העיתון שהם רצו לעשות.,זה המסמך שהם רצו לעשות.,אתה קורא את העיתון שהם לא רצו לעשות.,לא,strong,1.00,0.43,84661,slate,
hn89318,?,ניסיתי לסבול את זה.,,אפילו לא ניסיתי לסבול את זה.,לא,strong,1.00,0.00,89318,fiction,WRITE PARAPHRASE
hn91031,?,"זה נכון, הוא הודה.",הוא הודה שזה נכון.,"זה לא נכון, הוא הודה.",לא,strong,1.00,0.75,91031,fiction,
hn9558,?,תקני דיווח לביקורות ביצועים,,תקני דיווח לא לביקורות ביצועים.,לא,strong,1.00,0.00,9558,government,WRITE PARAPHRASE
hn96767,?,"""כי אתה יכול להחזיר את השמיים.",כי אתה יכול להחזיר את השמיים למקום המקורי שלהם.,"כי אף אחד, אפילו לא אתה, יכול להחזיר את השמיים.",אף אחד | לא,"phrase,strong",1.00,1.00,96767,fiction,
hn49766,?,"לפני שאדם בעל הכנסה נמוכה יוכל לקבל סיוע משפטי הולם, אותו אדם צריך לקבל גישה למערכת השירותים המשפטיים.","לפני שאדם עם הכנסה נמוכה יכול לקבל סיוע משפטי מתאים, אותו אדם צריך לקבל גישה למערכת השירותים המשפטיים.","לפני שאדם בעל הכנסה נמוכה יכול לקבל סיוע משפטי הולם, אותו אדם אינו צריך לקבל גישה למערכת השירותים המשפטיים.",אינו,strong,0.94,0.82,49766,government,
hn110892,?,חשבתי שזה מתאים גם לעונת החגים וגם לניתוח שלאחר מעשה של תיק תעריפי הדואר.,חשבתי שזה מתאים גם לעונות החגים וגם לניתוח שלאחר מעשה של תעריפי הדואר.,חשבתי שזה לא מתאים גם לעונת החגים וגם לניתוח שלאחר מעשה של תעריפי הדואר.,לא,strong,0.93,0.86,110892,government,
hn11441,?,"בנוסף, את התרומה המלאה בסך 1,000 דולר ניתן לפרט כניכוי ממס הכנסה פדרלי.","התרומה המלאה של 1,000 דולר, בנוסף, יכולה להיות מפורטת כניכוי מס הכנסה פדרלי.","בנוסף, לא ניתן לפרט את כל התרומה בסך 1,000,000 דולר כניכוי ממס הכנסה פדרלי.",לא,strong,0.93,0.64,11441,letters,
hn67507,?,חוק סרבנס-אוקסלי משנת 2002 מספק מסגרת חזקה לממשל תאגידי יעיל יותר ולוויסות מקצוע החשבונאות.,חוק סרבנס-אוקסלי משנת 2002 מספק מסגרת לניהול תאגידי אפקטיבי ולוויסות מקצוע הראיית חשבון.,חוק סרבנס-אוקסלי משנת 2002 אינו מספק מסגרת חזקה לממשל תאגידי יעיל יותר ולרגולציה של מקצוע החשבונאות.,אינו,strong,0.93,0.64,67507,government,
hn72843,?,"המדינות בקטגוריה זו כוללות את קליפורניה, קונטיקט, אילינוי, אינדיאנה, קנטקי, מרילנד, מישיגן, מיזורי, ניו ג'רזי, ניו מקסיקו, אורגון, רוד איילנד, וירג'יניה המערבית וויומינג.",יש 14 מדינות בקטגוריה זו.,"המדינות בקטגוריה זו אינן כוללות את קליפורניה, קונטיקט, אילינוי, אינדיאנה, קנטקי, מרילנד, מישיגן, מיזורי, ניו ג'רזי, ניו מקסיקו, אורגון, רוד איילנד, ווסט וירג'יניה ויומינג.",אינן,strong,0.92,0.08,72843,government,
hn133001,?,המגוון והאנרגיה של חיי הלילה כאן עקפו את אלה של הגדה השמאלית.,לגדה השמאלית יש מגוון פעילויות של חיי לילה.,המגוון והאנרגיה של חיי הלילה כאן לא עקפו את הגדה השמאלית.,לא,strong,0.91,0.27,133001,travel,
hn55816,?,הרפובליקה הימית של ג'נובה קמה כדי לאתגר את עליונותה של ונציה.,"ג'נובה, הרפובליקה הימית, קמה לאתגר את עליונותה של ונציה.",הרפובליקה הימית של ג'נובה לא קמה מעולם לאתגר את עליונותה של ונציה.,לא | מעולם,strong,0.91,0.91,55816,travel,
hn136464,?,או האם שימוש לרעה ברוחב פס הוא שאלה מוסרית אמיתית?,האם שימוש לרעה ברוחב פס הוא שאלה מוסרית אמיתית?,האם שימוש לרעה ברוחב הפס הוא שאלה מוסרית אמיתית או לא אמיתית?,לא,strong,0.90,0.90,136464,slate,
hn31800,?,סעיף זה מסכם את תוצאות המחקר שלנו ועבודת מחקר המקרה.,תוצאות המחקר שלנו ועבודת המקרה מסוכמות בסעיף זה.,סעיף זה אינו מסכם את תוצאות המחקר שלנו ועבודת המקרה.,אינו,strong,0.90,0.60,31800,government,
hn82262,?,רפורמות בצדק אזרחי נלקחו בחשבון בעת הוצאת כלל סופי זה.,הכלל הסופי הזה לקח בחשבון רפורמות בצדק האזרחי.,רפורמות בצדק האזרחי לא נלקחו בחשבון בעת הוצאת כלל סופי זה.,לא,strong,0.90,0.30,82262,government,
hn103338,?,הוצאות המנהל כוללות הקצאה מתאימה של עלויות תקורה של הסוכנות.,הוצאות המנהל כוללות הקצאה נאותה של עלויות תקורה של הסוכנות.,הוצאות המינהל אינן כוללות הקצאה מתאימה של עלויות תקורה של הסוכנות.,אינן,strong,0.89,0.89,103338,government,
hn145692,?,אפשר לטעון שהבלגן במינויים הוא יותר אסתטי מאשר מהותי.,אפשר לטעון שהבלגן בפגישות הוא יותר אסתטי מאשר מהותי.,אי אפשר לטעון שהבלגן במינויים הוא יותר אסתטי מאשר מהותי.,אי אפשר,phrase,0.89,0.89,145692,slate,
hn42675,?,"אני באמת יודע איך לעשות את זה כשאני חושב.""",אני יודע בוודאות איך לעשות את זה כשאני חושב,אני לא יודע איך לעשות את זה כשאני חושב,לא,strong,0.89,0.89,42675,fiction,
hn114609,?,הסביבה הבינלאומית למאמציו של בן לאדן הייתה אידיאלית.,הסביבה הבינלאומית למאמציו של בן לאדן הייתה בדיוק נכונה.,הסביבה לא הייתה אידיאלית למאמציו של בן לאדן.,לא,strong,0.88,0.88,114609,nineeleven,
hn116206,?,מערכות מידע בסוכנויות פדרליות והמליץ על שיפורים רבים.,מערכות מידע בסוכנויות פדרליות המליצו על שיפורים רבים,מערכות מידע בסוכנויות פדרליות לא המליצו על שיפורים רבים,לא,strong,0.88,0.88,116206,government,
hn118165,?,הוא השתמש במוריס כדי לעזור לו לעבור למרכז.,מוריס עזר לו לעבור למרכז.,הוא לא השתמש באף אחד כדי לעזור לו לעבור למרכז.,לא | באף אחד,"phrase,strong",0.88,0.38,118165,slate,
hn24829,?,הנושא החוזר הוא יותר מדי ומעט מדי הערכה עצמית.,המסר החוזר הוא דעה גבוהה מדי ונמוכה מדי על עצמו.,הנושא החוזר הוא שאין דבר כזה יותר מדי הערכה עצמית.,שאין,strong,0.88,0.38,24829,slate,
hn27613,?,"במקרים שבהם נכונותו של השולח לשלם קשורה לתוכן, ייתכן שניתן לטעון שהתוכן ימשיך להיות מוכר בתעריפים.","במקרים שבהם הנכונות לשלם של השולח קשורה לתוכן, ייתכן שניתן יהיה לטעון שהתוכן ימשיך להיות מוכר בתעריפים.","במקרים שבהם הנכונות לשלם של השולח קשורה לתוכן, יתכן שניתן לטעון שהתוכן לא ימשיך להיות מוכר בתעריפים.",לא,strong,0.88,0.94,27613,government,
hn29775,?,החוק השני של שומן לדינמיקה חישובית מציע זאת.,שומן הגה את החוק השני של דינמיקה חישובית.,החוק השני של שומן לדינמיקה חישובית לא מציע שום דבר.,לא | שום דבר,"phrase,strong",0.88,0.62,29775,slate,
hn44122,?,האם הורדת רמת האלכוהול החוקית שווה את זה?,האם זה שווה את כאבי הראש כדי להוריד את מגבלת האלכוהול החוקית?,הורדת רמת האלכוהול החוקית שווה את זה ללא ספק,ללא,strong,0.88,0.75,44122,slate,
hn72178,?,פסטיבל הסרטים הבינלאומי של הונג קונג מתקיים באפריל.,,פסטיבל הסרטים הבינלאומי של הונג קונג כבר לא מתקיים.,לא,strong,0.88,0.00,72178,travel,WRITE PARAPHRASE
hn91839,?,המידע המשלים שפורסם ב-Federal Register כולל את הטקסט המלא של ניתוח הגמישות הרגולטורית הסופי של הוועדה.,ניתוח הגמישות הרגולטורית הסופי של הוועדה נכלל בפדרל רג'יסטר.,המידע המשלים שפורסם ב-Federal Register אינו כולל את ניתוח הגמישות הרגולטורית הסופי של הוועדה.,אינו,strong,0.87,0.40,91839,government,
hn102944,?,שיקולים נוספים לביקורות פיננסיות שבוצעו בהתאם ל-GAGAS,,שיקולים נוספים לביקורות פיננסיות לא בוצעו בהתאם ל-GAGAS,לא,strong,0.86,0.00,102944,government,WRITE PARAPHRASE
hn112747,?,אנשים הם אלו שגורמים לבקרה הפנימית לעבוד.,בקרה פנימית עובדת בזכות אנשים.,אנשים הם אלה שגורמים לבקרה הפנימית לא לעבוד.,לא,strong,0.86,0.14,112747,government,
hn127137,?,"אחרת, היא הייתה לוקחת את מפתח הבית.""","אלמלא כן, היא הייתה לוקחת את מפתח הבית.",היא לעולם לא הייתה לוקחת את מפתח הבית.,לא,strong,0.86,0.86,127137,fiction,
hn130236,?,הממשלה הפדרלית לווה מהציבור כדי לממן גירעון.,הממשלה הפדרלית לווה מהציבור כדי לממן את הגירעון,הממשלה הפדרלית לא שואלת מהציבור כדי לממן גירעון,לא,strong,0.86,0.86,130236,government,
hn136480,?,הם הצליחו לעצור את קו הרכבת בוינדרמיר.,קו הרכבת בוינדרמיר נעצר.,הם לא הצליחו לעצור את הרכבת בוינדרמיר.,לא,strong,0.86,0.43,136480,travel,
hn14140,?,הראיות התומכות בשיפוטים ובמסקנות המשמעותיים של המבקרים.,ראיות התומכות במסקנות ובשיפוטים המשמעותיים של המבקרים.,אין ראיות התומכות בשיפוטים ובמסקנות המשמעותיים של המבקרים.,אין,strong,0.86,0.57,14140,government,
hn143526,?,"בוראדרו, בר קאלה 13 (בשדרת פרימרה) הוא המקום לפגוש את הג'ינטרה של חלומותיך.",ניתן למצוא ג'ינטרה נהדרת בבר קאלה 13.,"בוראדרו, בר קאלה 13 (בפלמס פרימרה) אינו המקום לפגוש את הג'ינטרה של חלומותיך.",אינו,strong,0.86,0.21,143526,travel,
hn27032,?,הביצוע המוצלח של שני גורמי ההצלחה הקריטיים הללו תלוי במידה רבה בפקידים מלבד ה-CIO.,,הביצוע המוצלח של שני גורמי ההצלחה המכריעים האלה לא תלוי במידה רבה בפקידים מלבד ה-CIO.,לא,strong,0.86,0.00,27032,government,WRITE PARAPHRASE
hn37289,?,GAO נדרש לפעול לפי כללי הסנאט וה,הכרחי ש-GAO יפעל לפי כללי הסנאט.,GAO אינו נדרש לפעול לפי כללי הסנאט.,אינו,strong,0.86,0.43,37289,government,
hn37936,?,"""גם אני אוהב אותו, סבא,"" אמר בורק.",גם בורק אהב אותו.,"גם אני לא אוהב אותו, סבא. אמר ישוע.",לא,strong,0.86,0.43,37936,fiction,
hn473,?,הוא חייב לדווח על כישלונו למר קרטר.,הכישלון שלו ידווח למר קרטר.,הוא לא חייב לדווח על שום כישלון למר קרטר.,לא,strong,0.86,0.29,473,fiction,
hn48833,?,עונת הפולו העיקרית בג'מייקה רואה משחק אחר משחק על הדשא הבתולי בצ'וקה קוב.,עונת הפולו העיקרית בג'מייקה רואה משחקים רבים על הדשא הבתולי בצ'וקה קוב.,עונת הפולו העיקרית בג'מייקה לא רואה משחקים רבים על הדשא הבתולי בצ'וקה קוב.,לא,strong,0.86,0.86,48833,travel,
hn55831,?,הכובשים החדשים של צפון הודו לא באו בלא הזמנה.,הכובשים החדשים של צפון הודו הגיעו בהזמנה.,הכובשים החדשים של צפון הודו הגיעו ללא הזמנה ובהפתעה.,ללא,strong,0.86,0.71,55831,travel,
hn6085,?,"עד כה, התשובה היא כן! חד משמעית.","עד היום, התשובה היא בהחלט כן!","עד כה, התשובה היא לא חד משמעית!",לא,strong,0.86,0.57,6085,slate,
hn66929,?,מאר ביקש אישור להזניק את מטוסי אוטיס.,,מאר לא ביקש רשות להזניק את מטוסי הקרב אוטיס.,לא,strong,0.86,0.00,66929,nineeleven,WRITE PARAPHRASE
hn6697,?,דוח על תקני ארגון מחדש של LSC,יש דוח על תקני התיאום מחדש של LSC.,אין דוח על תקני התצורה מחדש של LSC.,אין,strong,0.86,0.86,6697,government,
hn88884,?,השיטה שנבחרה על ידי ההנהלה לרישום הסטיות צריכה להיות היעילה והאפקטיבית ביותר בנסיבות העניין.,השיטה שנבחרה על ידי ההנהלה לרישום הסטיות צריכה להיות היעילה והאפקטיבית ביותר בנסיבות.,השיטה שנבחרה על ידי הנהלה לרישום הסטיות לא צריכה להיות היעילה והאפקטיבית ביותר בנסיבות.,לא,strong,0.86,0.93,88884,government,
hn89490,?,פעולות ספציפיות לכל שלב נדונות בסעיפים 6-10.,,פעולות ספציפיות עבור כל שלב לא נדונות בסעיפים 6-10.,לא,strong,0.86,0.00,89490,government,WRITE PARAPHRASE
hn92899,?,תמיד היו לי תקוות לגבי המכתב הזה.,תמיד רציתי שהמכתב הזה יגיע.,לא היו לי שום תקוות לגבי המכתב הזה.,לא,strong,0.86,0.29,92899,fiction,
hn4199,?,"לכן, המחקר הצליח לקשר בין ציוני בחינת מצב נפשי לרמות האלכוהול בזמן ההסכמה.",המחקר יצר מתאם בין רמות האלכוהול בזמן ההסכמה לציוני מבחן המצב המנטלי.,המחקר לא הצליח לקשר בין ציוני בחינת מצב נפשי לרמות אלכוהול בזמן ההסכמה.,לא,strong,0.85,0.38,4199,government,
hn115652,?,עושר מוחשי בר-שחזור קבוע בארצות הברית,"עושר מוחשי קבוע וניתן לשכפול בארה""ב.",עושר מוחשי קבוע שאינו ניתן לשכפול בארצות הברית.,שאינו,strong,0.83,0.50,115652,government,
hn117439,?,זה הופך אותך לניתן לחיזוי מאוד.',,זה לא הופך אותך לניתן לחיזוי.,לא,strong,0.83,0.00,117439,fiction,WRITE PARAPHRASE
hn118183,?,קבע את בסיס המחאה ואת פתרונה.,בסיס המחאה ופתרונה; קבע אותו.,אין לקבוע את בסיס המחאה ואת פתרונה.,אין,strong,0.83,0.50,118183,government,
hn118617,?,ניתן לשלוח תלונות ישירות ל-Critical Path.,הנתיב הקריטי הוא המקום שאליו ניתן לשלוח את השיחות.,תלונות לא ניתן לשלוח ל-Critical Path.,לא,strong,0.83,0.33,118617,slate,
hn122021,?,משהו דומה אולי קורה עם התמונות.,משהו דומה עשוי להתרחש עם התמונות.,משהו דומה בהחלט לא קורה עם התמונות.,לא,strong,0.83,0.67,122021,slate,
hn122584,?,אבל הייתי צריך לשים לב יותר.,הייתי צריך לשים לב יותר.,לא הייתי צריך לשים לב לזה יותר מדי.,לא,strong,0.83,0.83,122584,slate,
hn129216,?,"קרן המחקר של מנהלים פיננסיים, 1993.",קרן המחקר של מנהלים פיננסיים נוסדה בשנת 1993,קרן המחקר של מנהלים פיננסיים אינה קיימת.,אינה,strong,0.83,1.00,129216,government,
hn133200,?,הייתי רוצה שהוא יראה את זה.,קיוויתי שהוא יוכל לראות זאת.,אני לא רוצה שהוא יראה את זה.,לא,strong,0.83,0.17,133200,fiction,
hn1409,?,השופט בדימוס ג'וזף תלהופר הסכים.,השופט לשעבר ג'וזף טלהופר הסכים.,השופט ג'וזף תלהופר לא הסכים.,לא,strong,0.83,0.67,1409,government,
hn14371,?,תוכנית עורכי הדין המתנדבים של לשכת עורכי הדין של מדינת אלבמה עוזרת למדינה במידה מסוימת.,במידה מסוימת תוכנית עורכי הדין המתנדבים של לשכת עורכי הדין של מדינת אלבמה עוזרת למדינה.,תוכנית עורכי הדין המתנדבים של לשכת עורכי הדין של מדינת אלבמה לא עוזרת למדינה בשום צורה.,לא | בשום צורה,"phrase,strong",0.83,1.00,14371,government,
hn144477,?,"הפלישה הנאצית, מלחמת העולם השנייה והשואה","השואה, מלחמת העולם השנייה ופלישת הנאצים.","לא מלחמת העולם השנייה, לא הפלישה הנאצית ולא השואה.",לא | לא | ולא,strong,0.83,0.50,144477,travel,
