model,config,direction,center,select,gamma,at_grid_edge,n_train,n_test,sim_paraphrase,sim_negation,cosine_gap,nevir_rank,sim_unrelated
alephbert-sentence,classifier/train,classifier,True,train,200.0,False,152,151,0.7722957335220763,-0.7015007547148209,1.4737964882368972,0.9006622516556292,0.8560524534494616
alephbert-sentence,classifier/cv/nocenter,classifier,False,cv5,120.0,False,152,151,0.6613307485909528,-0.16843116387184892,0.8297619124628017,0.8145695364238411,0.7759490712277649
alephbert-sentence,classifier/train/nocenter,classifier,False,train,120.0,False,152,151,0.6613307485909528,-0.16843116387184892,0.8297619124628017,0.8145695364238411,0.7759490712277649
sambert,baseline,,,,,,152,151,0.8786513280394851,0.8956069433136492,-0.016955615274164115,0.5033112582781457,0.2623503994382918
sambert,mean_diff/cv,mean_diff,True,cv5,1000.0,True,152,151,0.7555867404994974,-0.1430920175642579,0.8986787580637553,0.8874172185430463,0.9749062729702223
sambert,mean_diff/train,mean_diff,True,train,600.0,False,152,151,0.7578194442318332,-0.13833361984073447,0.8961530640725677,0.8874172185430463,0.9605147186711784
sambert,mean_diff/cv/nocenter,mean_diff,False,cv5,80.0,False,152,151,0.7219749233620163,0.34544172981675136,0.37653319354526493,0.6754966887417219,0.779892971107177
sambert,mean_diff/train/nocenter,mean_diff,False,train,80.0,False,152,151,0.7219749233620163,0.34544172981675136,0.37653319354526493,0.6754966887417219,0.779892971107177
sambert,classifier/cv,classifier,True,cv5,200.0,False,152,151,0.7126289503060778,-0.32303370275667137,1.035662653062749,0.8609271523178808,0.8720525546413143
sambert,classifier/train,classifier,True,train,200.0,False,152,151,0.7126289503060778,-0.32303370275667137,1.035662653062749,0.8609271523178808,0.8720525546413143
sambert,classifier/cv/nocenter,classifier,False,cv5,1000.0,True,152,151,0.612586039277373,-0.17895755713969969,0.7915435964170727,0.7814569536423841,0.9580496020647296
sambert,classifier/train/nocenter,classifier,False,train,120.0,False,152,151,0.6905318708871947,-0.132057058606474,0.8225889294936687,0.8079470198675497,0.7464091948446321
